year,disorder,average_val
2007,schizophrenia,0.214705113
2007,bipolar_disorder,0.72269345
2007,eating_disorder,0.262805719
2007,anxiety_disorder,4.002347143
2007,substance_use_disorder,0.90357545
2007,depression,3.456795255
2007,alcohol_use_disorder,1.590200753
2008,schizophrenia,0.212685121
2008,bipolar_disorder,0.720314056
2008,eating_disorder,0.248386671
2008,anxiety_disorder,4.002785926
2008,substance_use_disorder,0.877329303
2008,depression,3.48221668
2008,alcohol_use_disorder,1.6003919
2009,schizophrenia,0.213045944
2009,bipolar_disorder,0.720643831
2009,eating_disorder,0.250637139
2009,anxiety_disorder,4.003496983
2009,substance_use_disorder,0.880920355
2009,depression,3.472894948
2009,alcohol_use_disorder,1.607414987
2010,schizophrenia,0.213306238
2010,bipolar_disorder,0.720906714
2010,eating_disorder,0.25250203
2010,anxiety_disorder,4.004007701
2010,substance_use_disorder,0.883747489
2010,depression,3.467328199
2010,alcohol_use_disorder,1.610461909
2011,schizophrenia,0.213496831
2011,bipolar_disorder,0.72112271
2011,eating_disorder,0.254015498
2011,anxiety_disorder,4.004142411
2011,substance_use_disorder,0.886216004
2011,depression,3.464512818
2011,alcohol_use_disorder,1.610315035
2012,schizophrenia,0.213696286
2012,bipolar_disorder,0.721350732
2012,eating_disorder,0.255580468
2012,anxiety_disorder,4.004036654
2012,substance_use_disorder,0.889014823
2012,depression,3.461950203
2012,alcohol_use_disorder,1.609454831
2013,schizophrenia,0.213900113
2013,bipolar_disorder,0.721603511
2013,eating_disorder,0.25715068
2013,anxiety_disorder,4.004002879
2013,substance_use_disorder,0.891819667
2013,depression,3.459762571
2013,alcohol_use_disorder,1.607667771
2014,schizophrenia,0.214105139
2014,bipolar_disorder,0.721866074
2014,eating_disorder,0.258704939
2014,anxiety_disorder,4.003860835
2014,substance_use_disorder,0.894664576
2014,depression,3.458055987
2014,alcohol_use_disorder,1.604897688
2015,schizophrenia,0.214309996
2015,bipolar_disorder,0.722137784
2015,eating_disorder,0.26019816
2015,anxiety_disorder,4.003508926
2015,substance_use_disorder,0.897622576
2015,depression,3.456916247
2015,alcohol_use_disorder,1.601098273
2016,schizophrenia,0.214511182
2016,bipolar_disorder,0.722408762
2016,eating_disorder,0.261534554
2016,anxiety_disorder,4.002900398
2016,substance_use_disorder,0.900660351
2016,depression,3.45629871
2016,alcohol_use_disorder,1.596272208
2017,schizophrenia,0.214705113
2017,bipolar_disorder,0.72269345
2017,eating_disorder,0.262805719
2017,anxiety_disorder,4.002347143
2017,substance_use_disorder,0.90357545
2017,depression,3.456795255
2017,alcohol_use_disorder,1.590200753
